# All refereed publications based on data obtained from the HLA must carry the following footnote: 
#
#     Based on observations made with the NASA/ESA Hubble Space Telescope,
#     and obtained from the Hubble Legacy Archive, which is a collaboration
#     between the Space Telescope Science Institute (STScI/NASA), the Space
#     Telescope European Coordinating Facility (ST-ECF/ESA) and the Canadian
#     Astronomy Data Centre (CADC/NRC/CSA).
#
# One copy of each paper resulting from data obtained from the HLA should be sent to the STScI
# ---------------------------------------------------------------------------------------------------------
# Proposal ID    :      11233
# Image File Name: hst_11233_06_wfpc2_f450w_wf_drz.fits                                                                
# Target Name    : M80-WFPC2                                                                       
# Date Observed  : 2008-05-19          
# Time Observed  : 10:20:17            
# Instrument     : WFPC2   
# Detector       : WFPC2   
# Target RA      :   244.288333
# Target DEC     :   -22.981861
# Orientation    :        0.000
# Aperture RA    :  -999.000000
# Aperture DEC   :  -999.000000
# Aperture PA    :     -999.000
# Exposure Start : 54605.430000
# Exposure Time  :     4200.000
# CCD Gain       :     -999.000
# Filter 1       :    F450W
# Filter 2       : 0       
# ---------------------------------------------------------------------------------------------------------
# Data Release Version : 4.0        (DAOphot Catalog)
# Processed On         : 2011-03-03 06:16:07 
# Good objects         :       5739
# Total objects        :      11673
# CTE_Corr             :      False
# CTE_Date             : 54605.430757(MJD used in computing the CTE correction)
# Aperture Correction  :    -0.1676
# Chip Designation: pc = 1, wf2 = 2, wf3 = 3, wf4 = 4
#
# IMPORTANT NOTES:
# 1. Magnitude values are in the ABMAG system
# 2. Aperture Magnitudes (MAGAP1,MAGAP2) are measured with an aperture radius of     0.10  and    0.30
# 3. CI = Concentration Index = MAGAP1-MAGAP2
# 4. Total Magnitudes (TOTMAG) are given for flag values of 0
#    This flag value identifies stellar sources possessing CI values as follows: 0.85 < CI < 1.3.
# 5. Flag Value Identification:
#     0 - Stellar Source (0.85 < CI < 1.3)
#     1 - Extended Source (CI > 1.3)
#     2 - Questionable Photometry (single-pixel saturation)
#     4 - Poor Photometry (multi-pixel saturation)
#     8 - Source Magnitude > Faint Magnitude Limit
#    16 - Concentration Index < 0.85 (Hot Pixels)
#    32 - False Detection Swarm Around Saturated Source
#    64 - False Detections Near Image Edge
#   128 - Bleeding Sources & Cosmic Rays
#
#                                                          Ap.Radius          Ap. Radius
#                                                        (0.10 arcsec)      (0.30 arcsec)    ============================================|                    (CTE Parameter Values)====================================================|
# X-Center   Y-Center         RA          DEC        ID   MagAp1   MagErr   MagAp2   MagErr     MSky    Stdev       Flux   TotMag   MagErr       CI    Flags      X-Det      Y-Det       Back       Cnts     XCTE     YCTE Chip  Mag-CTE 
#       c1         c2         c3           c4        c5       c6       c7       c8       c9      c10      c11        c12      c13      c14      c15      c16        c17        c18        c19        c20      c21      c22  c23      c24
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1820.490    668.726 244.2652785 -22.9903248      3023   22.489    0.012   21.631    0.016    0.059    0.025      9.109   21.463    0.016    0.858        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1818.660    681.055 244.2653338 -22.9899824      3157   24.365    0.059   22.166    0.023    0.054    0.021     5.5646   22.166    0.023    2.199        1   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1815.306    689.556 244.2654351 -22.9897462      3247   21.687    0.006   20.430    0.005    0.055    0.024      27.52   20.262    0.005    1.257        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1815.187    692.800 244.2654387 -22.9896561      3295   23.124    0.022   21.156    0.011    0.056    0.025     14.103   21.156    0.011    1.968        1   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1814.974    676.767 244.2654450 -22.9901015      3114   23.371    0.029   22.359    0.033    0.057    0.026     4.6578   22.191    0.033    1.012        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1814.616    683.871 244.2654559 -22.9899042      3191   21.053    0.003   20.042    0.003    0.054    0.023     39.334   19.874    0.004    1.011        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1812.960    671.432 244.2655058 -22.9902497      3048   22.856    0.017   21.796    0.018    0.057    0.024     7.8234   21.628    0.018    1.060        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1812.906    609.848 244.2655071 -22.9919604      2414   23.994    0.068   22.934    0.076    0.037    0.035     2.7429   22.766    0.076    1.060        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1812.636    705.162 244.2655157 -22.9893127      3423   21.175    0.004   20.228    0.005    0.057    0.026     33.146   20.060    0.005    0.947        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1809.426    672.823 244.2656124 -22.9902111      3071   22.900    0.014   21.725    0.014    0.054    0.020     8.3496   21.557    0.014    1.175        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1808.547    665.185 244.2656389 -22.9904232      2983   23.202    0.021   22.227    0.025    0.056    0.022     5.2574   22.059    0.025    0.975        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1808.394    716.793 244.2656438 -22.9889897      3561   21.693    0.015   20.779    0.019    0.086    0.063     19.964   20.611    0.019    0.914        0   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
  1807.229    610.582 244.2656784 -22.9919400      2421   24.470    0.100   23.030    0.078    0.048    0.033     2.5097   23.030    0.078    1.440        1   -999.000   -999.000       -999       -999 -999.000 -999.000 -999    0.000 
