pixel_gauss,pixel_init,pixel_shift,wavelength
1695.8809056572738,1696,-0.11909434272615727,4764.865
1556.1626303668406,1556,0.1626303668406308,5167.487
1520.6591695438897,1521,-0.34083045611032503,5269.537
1317.6920278430352,1318,-0.3079721569647518,5852.4878
1232.6638698877687,1233,-0.3361301122313307,6096.163
1216.2728505716475,1216,0.2728505716474956,6143.0627
1125.8349486913369,1126,-0.16505130866312356,6402.248
1029.4720273140501,1029,0.47202731405013765,6678.2766
929.1765607916305,929,0.17656079163054983,6965.431
893.6449318536122,893,0.6449318536122064,7067.218
821.9850056512844,822,-0.014994348715617889,7272.936
783.2862705482752,783,0.2862705482751835,7383.98
695.779061900944,695,0.7790619009440434,7635.105
664.9661413971974,665,-0.033858602802638416,7723.761
587.1241130037547,588,-0.8758869962452991,7948.175
477.48730668828335,477,0.4873066882833541,8264.521
388.6415535882854,388,0.641553588285376,8521.441
338.29899655322816,339,-0.7010034467718356,8667.944
181.87457206756523,182,-0.1254279324347749,9122.967
147.3456215873719,148,-0.6543784126280912,9224.499
